Orthogroup,Leersia_perrieri,Oryza_barthii,Oryza_brachyantha,Oryza_glaberrima,Oryza_glumaepatula,Oryza_meridionalis,Oryza_nivara,Oryza_punctata,Oryza_rufipogon,Oryza_sativa_IR8,Oryza_sativa_N22,Oryza_sativa_vg_indica,Oryza_sativa_vg_japonica,Total
OG0006884,1,1,1,0,2,1,2,1,2,3,3,1,2,20
OG0006885,1,2,2,2,1,0,2,3,4,1,0,1,1,20
OG0006886,2,3,2,1,1,1,1,2,1,2,2,1,1,20
OG0006887,1,1,1,1,1,1,1,2,1,3,3,1,3,20
OG0006888,1,1,3,1,1,1,1,2,2,3,2,1,1,20
OG0006889,1,2,0,1,2,0,1,1,3,4,3,1,1,20
OG0006890,1,1,1,1,1,2,3,1,2,2,2,1,2,20
OG0006891,1,2,1,2,1,0,1,2,2,2,2,1,3,20
OG0006892,1,1,4,1,1,1,1,1,1,3,3,1,1,20
OG0006893,1,2,0,2,2,3,1,1,3,1,0,2,2,20
OG0006894,1,2,1,2,1,1,2,1,1,3,2,1,2,20
OG0006895,1,2,0,1,2,1,2,1,2,2,1,3,2,20
OG0006896,1,2,1,1,2,1,2,2,2,2,1,1,2,20
OG0006897,2,0,2,2,1,3,2,0,2,2,0,2,2,20
OG0006898,2,1,1,1,1,3,1,1,1,3,3,1,1,20
OG0006899,1,0,1,2,1,2,2,3,1,1,3,2,1,20
OG0006900,3,2,4,1,1,0,2,1,1,2,2,0,1,20
OG0006901,1,1,2,1,2,1,2,2,2,1,1,2,2,20
OG0006902,2,1,2,2,2,1,2,0,2,1,1,2,2,20
OG0006903,1,1,1,2,1,1,1,6,2,2,0,1,1,20
OG0006904,1,2,1,2,2,1,2,2,2,1,1,2,1,20
OG0006905,1,1,1,1,5,0,4,1,1,1,0,1,3,20
OG0006906,2,2,1,0,2,1,1,1,2,3,1,2,2,20
OG0006907,2,1,1,1,2,1,2,1,2,2,3,1,1,20
OG0006908,1,1,1,2,2,1,3,1,2,2,1,1,2,20
OG0006909,1,1,1,1,1,3,1,1,1,4,3,1,1,20
OG0006910,1,1,1,2,2,2,1,1,2,2,2,1,2,20
OG0006911,2,2,2,1,2,1,2,2,2,0,0,2,2,20
OG0006912,2,2,1,2,2,1,1,2,2,1,1,1,2,20
OG0006913,1,1,2,1,1,2,1,1,2,3,3,1,1,20
OG0006914,2,4,2,0,1,1,2,1,1,1,2,1,2,20
OG0006915,1,1,2,0,1,1,1,3,1,5,2,1,1,20
OG0006916,3,1,1,1,1,1,2,1,2,2,2,2,1,20
OG0006917,1,3,2,1,1,2,1,2,2,2,1,1,1,20
OG0006918,1,3,1,3,1,1,2,1,2,0,1,2,2,20
OG0006919,3,3,1,1,2,1,1,1,1,2,2,1,1,20
OG0006920,1,1,1,1,1,2,1,2,1,4,3,1,1,20
OG0006921,1,2,1,2,2,1,2,2,2,1,0,2,2,20
OG0006922,1,1,0,1,1,1,2,1,3,1,2,3,3,20
OG0006923,1,1,2,2,1,1,1,4,1,1,3,1,1,20
OG0006924,1,2,1,2,4,0,0,1,4,0,0,0,5,20
OG0006925,4,1,6,2,0,1,3,1,1,0,0,0,1,20
OG0006926,1,1,2,1,1,3,2,1,4,1,1,1,1,20
OG0006927,1,1,2,1,1,4,1,2,1,2,2,1,1,20
OG0006928,3,2,1,1,3,1,3,1,1,1,1,1,1,20
OG0006929,2,2,3,2,1,1,2,2,2,0,0,2,1,20
OG0006930,2,1,1,1,1,1,2,4,1,1,1,2,2,20
OG0006931,3,1,2,1,1,1,2,1,2,2,2,1,1,20
OG0006932,1,2,2,1,0,1,0,2,1,5,3,1,1,20
OG0006933,1,4,1,1,1,1,4,2,1,2,0,1,1,20
OG0006934,2,2,1,2,2,1,2,1,2,1,1,1,2,20
OG0006935,1,2,1,1,2,4,3,1,1,1,1,1,1,20
OG0006936,3,1,2,1,2,4,1,1,1,1,1,1,1,20
OG0006937,1,2,1,2,2,1,2,1,2,2,1,2,1,20
OG0006938,1,1,1,1,1,1,1,1,2,4,4,1,1,20
OG0006939,1,1,3,1,2,1,2,1,2,1,2,1,2,20
OG0006940,1,1,1,1,2,2,2,1,1,2,2,1,3,20
OG0006941,2,1,4,1,1,1,1,2,1,2,2,1,1,20
OG0006942,2,2,2,2,1,1,2,2,1,1,1,1,2,20
OG0006943,1,1,1,1,1,4,1,2,2,2,1,2,1,20
OG0006944,1,2,1,1,2,1,2,1,2,2,2,2,1,20
OG0006945,1,1,1,1,2,1,3,2,2,1,3,1,1,20
OG0006946,1,1,1,1,1,2,1,2,1,4,3,1,1,20
OG0006947,2,2,4,0,1,2,1,1,1,2,2,1,1,20
OG0006948,1,1,2,0,4,2,1,1,2,1,3,1,1,20
OG0006949,2,1,1,1,1,2,1,1,1,5,2,1,1,20
OG0006950,1,2,2,2,3,0,1,2,1,1,1,2,2,20
OG0006951,2,2,0,1,1,2,2,2,2,1,2,2,1,20
OG0006952,1,1,2,1,1,1,1,1,1,6,2,1,1,20
OG0006953,1,1,2,1,0,2,3,2,1,1,5,1,0,20
OG0006954,1,2,3,1,1,1,2,1,2,3,0,1,2,20
OG0006955,3,3,1,0,0,0,3,1,2,0,3,2,2,20
OG0006956,1,1,2,0,1,3,2,1,2,2,2,1,2,20
OG0006957,1,2,1,0,3,1,3,1,2,1,1,2,2,20
OG0006958,4,1,1,1,2,3,1,1,1,1,2,1,1,20
OG0006959,1,1,1,1,1,2,2,2,1,3,3,1,1,20
OG0006960,1,1,1,1,2,2,1,2,1,2,4,1,1,20
OG0006961,2,1,4,1,1,1,1,1,1,2,2,1,2,20
OG0006962,2,1,0,2,2,2,2,1,2,1,1,2,2,20
OG0006963,1,1,4,1,1,2,2,1,1,2,2,1,1,20
OG0006964,2,1,1,2,1,2,1,2,1,2,3,1,1,20
OG0006965,1,3,1,1,3,1,1,1,2,2,2,1,1,20
OG0006966,1,2,1,2,1,0,3,1,3,1,1,1,3,20
OG0006967,1,2,1,1,1,5,2,1,2,1,1,1,1,20
OG0006968,1,1,1,2,2,2,2,1,2,1,1,2,2,20
OG0006969,1,1,0,1,1,1,4,1,2,4,2,1,1,20
OG0006970,2,1,1,1,1,0,2,1,1,5,3,1,1,20
OG0006971,3,1,0,1,2,2,1,3,2,2,0,2,1,20
OG0006972,2,2,2,1,2,2,2,2,1,1,1,1,1,20
OG0006973,2,1,2,1,3,2,1,1,2,2,1,1,1,20
OG0006974,2,1,1,1,1,3,2,1,1,3,1,1,2,20
OG0006975,1,1,1,2,1,1,1,1,2,3,3,1,2,20
OG0006976,4,1,4,1,1,0,1,3,1,1,1,1,1,20
OG0006977,1,2,1,2,2,1,1,1,1,2,2,1,3,20
OG0006978,1,1,0,1,3,1,2,1,3,3,1,1,2,20
OG0006979,1,1,0,1,1,3,1,1,1,3,5,1,1,20
OG0006980,1,2,1,1,2,2,1,4,1,2,1,1,1,20
OG0006981,1,1,3,1,2,1,3,1,1,1,1,1,3,20
OG0006982,3,1,1,0,1,1,2,0,1,1,6,1,2,20
OG0006983,2,2,1,0,2,2,1,2,1,2,1,2,2,20
OG0006984,1,2,1,1,2,1,2,3,2,1,1,2,1,20
OG0006985,1,1,3,1,1,1,2,1,2,1,2,1,3,20
OG0006986,1,1,2,2,2,1,1,2,2,1,1,1,3,20
OG0006987,1,1,1,2,2,1,1,2,2,2,2,1,2,20
OG0006988,1,1,1,1,2,2,2,1,2,3,1,1,2,20
OG0006989,3,1,1,1,1,1,1,2,1,3,3,1,1,20
OG0006990,1,1,0,2,2,1,1,5,1,2,1,1,2,20
OG0006991,2,1,6,1,1,2,1,1,1,1,1,1,1,20
OG0006992,3,1,2,1,1,1,2,1,2,2,2,1,1,20
OG0006993,1,1,1,1,1,1,2,1,3,3,2,1,2,20
OG0006994,1,2,1,2,1,2,2,1,1,2,2,1,2,20
OG0006995,2,1,3,1,1,2,2,1,1,2,2,1,1,20
OG0006996,2,1,3,1,1,1,1,1,3,2,2,1,1,20
OG0006997,1,1,3,1,1,1,2,1,2,2,2,1,2,20
OG0006998,2,1,2,1,2,2,1,3,1,1,1,1,2,20
OG0006999,1,2,1,1,1,3,1,3,1,2,1,1,2,20
OG0007000,1,1,1,2,1,4,1,2,2,1,1,1,2,20
OG0007001,1,2,2,2,0,0,1,2,1,4,4,0,1,20
OG0007002,3,1,1,1,1,3,2,1,1,2,2,1,1,20
OG0007003,1,2,3,2,1,1,2,2,2,0,1,1,2,20
OG0007004,1,1,1,1,2,3,1,2,1,3,1,1,2,20
OG0007005,1,1,1,1,1,3,1,2,1,2,2,1,3,20
OG0007006,1,1,1,1,1,3,1,2,1,2,3,1,2,20
OG0007007,3,1,2,2,2,2,2,1,1,1,1,1,1,20
OG0007008,1,1,2,1,1,1,2,1,2,1,5,1,1,20
OG0007009,1,1,1,1,1,2,4,1,1,1,3,1,2,20
OG0007010,1,1,0,1,1,2,2,2,2,2,2,2,2,20
OG0007011,1,1,1,1,4,1,1,1,1,5,1,1,1,20
OG0007012,2,0,4,4,3,3,1,0,1,0,0,1,1,20
OG0007013,1,1,3,1,1,1,1,1,1,3,4,1,1,20
OG0007014,1,2,2,1,1,1,1,2,1,2,2,1,3,20
OG0007015,1,1,2,1,1,3,2,2,1,2,2,1,1,20
OG0007016,1,2,3,1,1,3,2,2,1,1,1,1,1,20
OG0007017,1,4,1,1,1,1,1,1,2,2,2,1,2,20
OG0007018,1,3,0,6,2,1,0,2,2,0,0,1,2,20
OG0007019,1,2,1,2,2,1,2,1,2,1,1,2,2,20
OG0007020,1,1,1,1,2,3,2,1,1,4,0,2,1,20
OG0007021,1,2,1,2,3,1,2,2,1,2,1,1,1,20
OG0007022,4,1,1,1,1,2,1,1,1,2,2,2,1,20
OG0007023,1,1,1,4,1,1,2,2,1,2,1,1,2,20
OG0007024,1,1,1,1,2,2,3,1,1,2,2,2,1,20
OG0007025,4,1,1,2,0,0,0,2,2,2,2,1,3,20
OG0007026,1,1,3,1,1,1,1,1,2,3,1,1,3,20
OG0007027,1,1,1,1,1,2,5,2,1,1,1,1,2,20
OG0007028,2,1,2,1,1,1,2,1,2,2,2,1,2,20
OG0007029,1,1,4,2,2,1,1,1,1,2,2,1,1,20
OG0007030,1,1,2,1,2,1,1,3,1,1,1,4,1,20
OG0007031,2,2,2,1,1,2,1,1,1,3,2,1,1,20
OG0007032,1,1,3,1,1,1,1,2,1,3,3,1,1,20
OG0007033,3,2,1,2,1,2,1,3,1,1,1,1,1,20
OG0007034,1,1,1,1,1,4,3,1,2,2,1,1,1,20
OG0007035,1,1,1,2,1,1,1,2,2,3,2,1,2,20
OG0007036,2,1,2,1,2,2,1,1,1,3,2,1,1,20
OG0007037,1,2,1,1,3,1,0,1,0,3,0,2,5,20
OG0007038,1,1,2,1,1,3,1,2,1,2,3,1,1,20
OG0007039,1,2,1,1,5,2,2,1,1,1,1,1,1,20
OG0007040,2,2,0,1,1,1,2,1,2,1,2,3,2,20
OG0007041,2,1,1,0,2,0,1,1,2,5,4,1,0,20
OG0007042,1,2,2,1,2,2,3,1,1,1,1,1,2,20
OG0007043,3,1,1,1,1,1,1,1,1,4,2,1,2,20
OG0007044,1,1,1,1,2,1,2,2,3,2,2,1,1,20
OG0007045,2,1,0,1,3,1,1,1,4,1,2,1,2,20
OG0007046,1,3,1,2,2,0,1,0,2,3,2,2,1,20
OG0007047,1,1,0,1,1,1,2,3,2,2,2,2,2,20
OG0007048,1,2,3,2,1,2,2,1,1,2,1,1,1,20
OG0007049,2,2,2,2,1,2,1,2,1,2,1,1,1,20
OG0007050,1,1,1,1,1,5,1,2,1,2,2,1,1,20
OG0007052,3,1,2,1,2,1,1,2,1,1,2,2,1,20
OG0007053,2,2,0,0,2,2,2,4,2,1,1,1,1,20
OG0007054,1,1,2,1,1,2,3,2,1,2,1,1,2,20
OG0007055,2,2,2,2,2,1,1,2,2,1,1,1,1,20
OG0007056,1,2,1,1,2,3,1,1,2,1,2,1,2,20
OG0007057,3,1,2,1,2,3,1,1,2,1,0,2,1,20
OG0007058,1,2,1,1,2,3,1,2,1,3,1,1,1,20
OG0007059,2,1,1,2,1,1,3,2,1,2,2,1,1,20
OG0007060,4,1,2,1,2,1,2,2,1,1,1,1,1,20
OG0007061,1,1,2,1,3,1,2,1,2,2,1,1,2,20
OG0007062,2,1,1,2,2,1,2,1,2,2,0,1,3,20
OG0007063,2,1,2,2,1,0,1,1,1,3,3,2,1,20
OG0007064,2,3,2,0,1,0,2,1,2,2,3,1,1,20
OG0007065,1,1,5,0,3,1,1,1,1,2,2,1,1,20
OG0007066,2,1,3,2,1,1,1,1,3,1,2,1,1,20
OG0007068,1,1,2,2,1,2,1,1,1,4,2,1,1,20
OG0007069,1,1,2,1,2,1,1,1,2,2,3,1,2,20
OG0007070,3,1,4,1,1,1,0,5,1,1,1,0,1,20
OG0007071,2,1,1,1,1,1,1,1,1,4,4,1,1,20
OG0007072,2,1,1,1,1,3,1,1,1,3,3,1,1,20
OG0007073,1,1,3,1,1,2,1,1,2,2,2,1,2,20
OG0007074,2,2,1,1,2,2,1,2,1,2,2,1,1,20
OG0007075,2,2,1,1,2,2,1,2,1,2,2,1,1,20
OG0007076,2,2,1,2,2,3,2,0,2,0,0,2,2,20
OG0007077,4,1,2,1,1,1,1,1,2,2,2,1,1,20
OG0007078,2,1,0,1,1,2,1,3,1,3,2,1,2,20
OG0007079,2,1,1,2,1,1,2,2,1,2,1,2,2,20
OG0007080,1,2,0,3,1,0,2,5,0,3,1,0,2,20
OG0007081,2,1,2,2,2,2,1,1,1,2,1,1,2,20
OG0007082,2,2,0,1,1,2,1,2,1,2,4,1,1,20
OG0007083,2,1,4,1,1,1,1,1,3,2,1,1,1,20
OG0007084,2,1,2,1,2,2,1,1,2,2,2,1,1,20
OG0007085,1,0,1,2,2,5,1,1,2,1,1,1,2,20
OG0007086,1,1,0,1,1,1,2,3,1,3,3,2,1,20
OG0007087,1,2,1,1,1,1,2,1,2,2,3,1,2,20
OG0007088,1,3,0,4,3,0,0,1,2,1,2,1,2,20
OG0007089,1,1,0,1,4,2,2,2,2,1,1,2,1,20
OG0007090,1,0,0,1,2,2,2,2,2,1,3,2,2,20
OG0007091,1,1,1,2,3,0,2,1,2,2,2,1,2,20
OG0007092,1,2,2,1,2,1,2,1,2,2,2,1,1,20
OG0007093,1,1,1,1,1,3,1,1,3,2,1,1,3,20
OG0007094,1,2,2,2,1,1,1,3,2,2,1,1,1,20
OG0007095,3,1,1,1,1,1,2,2,1,3,2,1,1,20
OG0007096,1,2,1,2,2,2,2,1,2,2,1,2,0,20
OG0007097,1,1,1,1,2,1,1,3,1,4,2,1,1,20
OG0007098,2,1,1,1,2,0,1,2,2,3,2,2,1,20
OG0007099,2,1,6,1,2,0,2,1,0,1,2,1,1,20
OG0007100,2,1,2,1,1,1,1,1,1,3,3,2,1,20
OG0007101,3,1,2,1,3,1,1,1,1,2,2,1,1,20
OG0007102,2,1,0,1,2,5,1,2,1,2,1,1,1,20
OG0007103,2,1,1,1,1,5,1,2,1,1,2,1,1,20
OG0007104,1,2,1,1,2,1,2,1,2,2,2,2,1,20
OG0007105,1,1,3,1,3,1,1,2,1,3,1,1,1,20
OG0007106,1,1,2,1,3,1,1,2,1,2,2,1,2,20
OG0007107,1,1,1,2,2,1,2,3,1,2,2,1,1,20
OG0007108,4,1,1,1,2,1,2,1,1,3,1,1,1,20
OG0007109,1,1,2,1,2,0,2,2,2,3,2,1,1,20
OG0007110,1,1,3,1,1,1,2,5,1,1,1,1,1,20
OG0007111,4,1,2,1,1,1,1,2,1,3,1,1,1,20
OG0007112,2,1,2,1,3,1,1,4,1,1,1,1,1,20
OG0007113,1,1,2,2,3,0,1,1,1,2,0,0,6,20
OG0007114,1,1,1,1,1,1,2,1,3,3,1,1,3,20
OG0007115,1,2,2,1,1,1,1,1,1,3,4,1,1,20
OG0007116,2,1,2,1,1,2,1,1,3,2,2,1,1,20
OG0007117,2,1,2,1,1,2,1,2,2,2,2,1,1,20
OG0007118,1,2,1,2,2,1,2,2,2,1,1,2,1,20
OG0007119,1,1,1,3,1,2,1,1,2,2,2,1,2,20
OG0007120,1,1,1,0,2,0,1,1,3,3,5,1,1,20
OG0007121,1,1,2,1,1,3,2,1,4,1,1,1,1,20
OG0007122,2,1,1,1,1,5,2,1,1,2,1,1,1,20
OG0007123,3,1,1,1,2,1,1,1,2,2,2,2,1,20
OG0007124,2,1,2,2,0,1,2,3,1,2,2,1,1,20
OG0007125,1,1,1,1,1,2,2,1,1,2,5,1,1,20
OG0007126,1,3,1,1,0,0,1,1,6,3,1,1,1,20
OG0007127,1,1,2,2,3,2,1,1,2,2,1,1,1,20
OG0007128,1,2,1,2,1,3,1,2,2,2,1,1,1,20
OG0007129,1,2,0,1,3,2,1,2,1,2,2,1,2,20
OG0007130,1,1,0,4,1,1,1,2,2,2,2,1,2,20
OG0007131,4,2,1,1,1,2,1,2,4,0,0,1,1,20
OG0007132,1,1,2,1,4,2,2,1,1,1,1,1,2,20
OG0007133,3,1,5,0,1,0,1,3,1,1,1,1,2,20
OG0007134,1,1,1,1,1,1,2,2,2,3,1,2,2,20
OG0007135,2,2,0,2,2,1,0,1,5,1,1,1,2,20
OG0007136,2,2,2,2,2,1,2,1,1,1,1,1,2,20
OG0007137,2,2,1,1,1,2,2,1,1,2,1,1,3,20
OG0007138,1,1,2,3,1,2,1,1,2,2,2,1,1,20
OG0007139,2,1,1,2,1,0,1,2,1,4,3,1,1,20
OG0007140,2,1,2,1,1,1,2,2,2,3,1,1,1,20
OG0007141,1,2,2,1,2,1,3,1,1,2,1,1,2,20
OG0007142,1,1,2,1,1,1,2,3,2,1,2,1,2,20
OG0007143,1,1,1,2,1,1,3,1,1,3,3,1,1,20
OG0007144,1,1,1,1,2,1,5,2,2,1,1,1,1,20
OG0007145,1,2,1,2,1,1,1,4,1,2,1,1,2,20
OG0007146,3,1,0,0,5,0,1,2,1,0,4,1,2,20
OG0007147,1,2,1,4,1,0,2,2,2,1,1,2,1,20
OG0007148,1,1,1,1,1,3,2,1,1,3,3,1,1,20
OG0007149,1,2,3,1,1,2,1,1,4,1,1,1,1,20
OG0007150,1,2,3,1,1,1,1,2,2,2,1,1,2,20
OG0007151,2,1,2,2,2,0,1,1,2,1,3,1,2,20
OG0007152,2,1,1,1,1,1,1,6,1,2,1,1,1,20
OG0007153,1,1,1,1,1,1,3,2,2,1,2,1,3,20
OG0007154,1,1,2,2,2,2,1,1,2,1,1,1,3,20
OG0007155,1,1,2,1,2,3,2,3,2,1,0,1,1,20
OG0007156,1,2,1,1,1,3,1,1,2,3,2,1,1,20
OG0007157,2,1,2,1,1,2,1,1,1,3,3,1,1,20
OG0007158,2,1,2,1,1,1,1,4,1,1,2,1,2,20
OG0007159,1,2,1,2,1,4,2,2,1,1,1,1,1,20
OG0007160,2,1,2,1,1,1,1,2,2,2,2,2,1,20
OG0007161,1,1,1,2,1,2,2,1,1,1,3,1,3,20
OG0007162,2,3,2,2,2,0,1,1,1,1,2,1,2,20
OG0007163,1,1,4,1,3,1,1,1,3,1,1,1,1,20
OG0007164,2,1,3,1,1,1,2,2,1,2,1,1,2,20
OG0007165,2,1,1,1,1,1,2,2,2,3,1,2,1,20
OG0007166,2,2,1,2,2,1,1,2,1,2,2,1,1,20
OG0007167,1,1,3,1,2,3,2,1,2,1,0,1,2,20
OG0007168,2,2,1,2,2,1,1,1,2,2,1,1,2,20
OG0007169,1,1,1,2,2,2,1,3,1,0,1,1,4,20
OG0007170,1,2,1,2,1,1,2,1,2,2,2,1,2,20
OG0007171,1,1,1,2,2,3,2,1,2,0,1,2,2,20
OG0007172,1,1,1,1,2,1,2,1,1,2,4,1,2,20
OG0007173,1,2,2,0,3,1,2,1,1,4,1,1,1,20
OG0007174,2,1,2,1,1,2,1,3,1,2,2,1,1,20
OG0007175,1,2,1,2,1,0,4,1,3,0,1,2,2,20
OG0007176,1,2,0,1,1,0,3,0,1,6,3,1,1,20
OG0007177,1,1,2,1,2,1,1,1,2,2,4,1,1,20
OG0007178,2,2,4,1,1,1,2,1,1,2,1,1,1,20
OG0007179,1,1,5,1,1,1,1,4,1,1,1,1,1,20
OG0007180,1,1,3,1,1,3,1,1,2,1,3,1,1,20
OG0007181,1,2,2,2,2,2,2,2,1,1,1,1,1,20
OG0007182,2,2,3,1,1,2,1,1,3,1,2,1,0,20
OG0007183,1,1,1,1,3,2,2,2,2,1,1,1,2,20
OG0007184,2,1,2,2,2,2,2,2,1,1,1,1,1,20
OG0007185,1,3,1,1,2,2,2,1,2,1,1,2,1,20
OG0007186,1,1,2,3,1,1,2,2,1,1,1,1,3,20
OG0007187,1,1,1,1,3,3,1,1,4,1,1,1,1,20
OG0007188,1,1,5,1,1,0,1,2,1,2,2,2,1,20
OG0007189,1,1,3,3,1,0,3,1,2,1,1,2,1,20
OG0007190,3,1,0,3,2,2,2,2,0,1,1,2,1,20
OG0007191,1,1,1,1,3,3,1,3,1,1,1,1,2,20
OG0007192,2,1,1,1,3,1,1,2,1,2,3,1,1,20
OG0007193,1,2,1,1,4,0,1,1,1,4,2,1,1,20
OG0007194,1,1,0,2,1,5,2,2,2,1,1,1,1,20
OG0007195,1,1,1,0,1,1,2,2,2,5,0,2,2,20
OG0007196,2,1,1,1,2,0,2,1,1,2,2,2,3,20
OG0007197,2,2,1,1,3,0,2,1,3,2,1,1,1,20
OG0007198,2,1,2,0,1,3,1,1,1,1,5,1,1,20
OG0007199,1,1,1,1,1,0,3,3,1,3,2,2,1,20
OG0007200,1,1,2,1,1,3,1,1,1,2,2,1,3,20
OG0007201,3,2,3,1,1,1,1,1,1,2,1,2,1,20
OG0007202,1,2,1,2,1,2,1,1,1,3,2,1,2,20
OG0007203,1,2,1,2,2,1,2,2,2,1,1,1,2,20
OG0007204,5,1,1,1,2,1,2,1,2,1,1,1,1,20
OG0007205,1,1,1,1,1,2,2,1,1,3,2,2,2,20
OG0007206,2,1,3,2,1,1,1,3,1,1,2,1,1,20
OG0007207,1,1,1,2,2,1,2,2,2,2,2,1,1,20
OG0007208,2,2,1,1,2,2,1,3,0,1,2,2,1,20
OG0007209,1,1,2,1,1,1,4,1,1,2,3,1,1,20
OG0007210,1,1,1,1,1,3,1,5,1,2,1,1,1,20
OG0007211,2,2,2,1,1,1,1,3,1,3,1,1,1,20
OG0007212,2,1,3,0,2,1,1,1,1,3,2,1,2,20
OG0007213,1,2,1,0,2,1,2,1,2,2,2,2,2,20
OG0007214,1,1,0,0,4,1,1,2,5,1,1,1,2,20
OG0007215,4,1,2,0,2,1,2,3,1,1,0,1,2,20
OG0007216,1,3,2,1,1,1,2,1,2,2,1,1,2,20
OG0007217,1,2,1,2,2,1,1,1,2,2,1,2,2,20
OG0007218,3,1,2,1,1,2,2,1,2,1,1,1,2,20
OG0007219,2,1,4,1,2,3,1,1,1,1,1,1,1,20
OG0007220,2,1,2,1,2,1,2,2,1,3,1,0,2,20
OG0007221,1,1,0,1,1,5,1,0,3,0,3,3,1,20
OG0007222,3,2,2,0,1,2,2,2,2,2,0,1,1,20
OG0007223,1,1,1,0,1,2,3,2,2,2,2,1,2,20
OG0007224,1,2,3,1,1,2,2,1,1,2,2,1,1,20
OG0007225,1,2,1,1,1,1,2,1,1,2,2,4,1,20
OG0007226,1,3,2,1,2,1,2,1,2,1,0,2,2,20
OG0007227,2,1,1,1,1,5,1,2,1,1,2,1,1,20
OG0007228,1,1,1,1,1,4,1,2,1,2,2,1,2,20
OG0007229,1,1,1,3,1,2,1,3,1,1,2,1,2,20
OG0007230,2,2,0,2,2,0,2,2,1,2,1,2,2,20
OG0007231,3,1,1,0,1,0,2,1,1,3,3,1,3,20
OG0007232,2,2,3,1,1,1,1,1,2,2,0,1,3,20
OG0007233,3,2,2,1,1,1,1,2,1,3,1,1,1,20
OG0007234,1,1,0,2,2,1,3,1,4,1,1,1,2,20
OG0007235,2,2,1,2,0,2,1,1,2,1,1,2,3,20
OG0007236,3,2,0,2,1,1,2,2,1,1,2,1,2,20
OG0007237,1,1,1,2,2,2,2,2,2,1,0,2,2,20
OG0007238,2,2,1,2,3,0,2,4,2,0,0,1,1,20
OG0007239,1,2,1,1,3,0,1,3,2,0,1,1,4,20
OG0007240,2,1,2,1,1,3,1,1,1,3,2,1,1,20
OG0007241,1,1,0,1,2,1,2,2,2,2,2,2,2,20
OG0007242,2,1,2,1,2,0,2,1,2,1,3,2,1,20
OG0007243,1,2,1,2,1,1,1,2,1,3,2,1,2,20
OG0007244,2,1,2,1,1,0,3,1,2,3,0,1,3,20
OG0007245,2,2,2,1,1,0,3,2,1,2,2,1,1,20
OG0007246,2,1,2,1,2,2,2,1,2,1,2,1,1,20
OG0007247,1,1,2,2,1,1,2,1,2,3,2,1,1,20
OG0007248,3,2,1,1,2,1,2,0,2,2,2,1,1,20
OG0007249,1,1,1,0,1,1,1,2,1,5,4,1,1,20
OG0007250,2,2,3,1,2,2,2,1,2,0,1,1,1,20
OG0007251,1,1,4,1,2,1,1,2,1,2,2,1,1,20
OG0007252,1,1,4,1,1,1,1,2,2,2,2,1,1,20
OG0007253,1,1,1,1,2,4,2,1,2,2,1,1,1,20
OG0007254,2,2,0,2,1,1,2,1,2,2,1,1,3,20
OG0007255,1,1,2,2,1,2,3,1,1,3,0,1,2,20
OG0007256,2,2,1,1,2,3,2,2,1,1,1,1,1,20
OG0007257,1,1,1,2,2,2,2,1,2,1,2,1,2,20
OG0007258,3,1,1,1,1,2,1,1,1,1,2,1,4,20
OG0007259,2,1,2,1,2,1,2,2,1,2,1,1,2,20
OG0007260,1,1,2,0,2,2,2,4,1,1,1,1,2,20
OG0007261,1,2,1,0,2,3,2,2,2,1,1,1,2,20
OG0007262,1,1,1,0,3,3,2,1,1,2,1,1,3,20
OG0007263,1,2,1,1,2,1,1,3,1,2,2,1,2,20
OG0007264,1,1,2,1,1,3,1,4,2,1,1,1,1,20
OG0007265,1,1,4,1,1,2,1,1,1,4,1,1,1,20
OG0007266,1,1,3,1,2,1,1,2,1,4,1,1,1,20
OG0007267,1,1,5,1,1,0,1,1,1,5,1,1,1,20
OG0007268,1,1,1,1,3,1,1,1,2,2,1,2,3,20
OG0007270,1,2,3,2,3,1,2,1,1,1,1,1,1,20
OG0007271,1,1,2,3,2,1,2,1,2,2,1,1,1,20
OG0007272,3,1,1,1,1,1,1,2,1,2,2,1,3,20
OG0007273,1,2,1,2,1,1,2,1,1,4,2,1,1,20
OG0007274,1,1,1,1,1,1,1,5,1,3,2,1,1,20
OG0007275,1,1,1,1,2,3,2,1,1,3,2,1,1,20
OG0007276,2,1,1,1,2,3,2,3,1,2,0,1,1,20
OG0007277,2,1,2,1,2,2,1,2,1,2,2,1,1,20
OG0007278,1,1,4,1,1,2,1,1,1,1,3,1,2,20
OG0007279,1,1,2,1,2,1,2,1,2,2,2,1,2,20
OG0007280,1,1,1,0,1,2,1,3,5,1,1,1,2,20
OG0007281,2,1,1,1,1,2,2,1,1,2,4,1,1,20
OG0007282,2,1,1,1,2,3,2,1,3,1,1,1,1,20
OG0007283,1,2,1,2,2,1,1,2,2,2,2,1,1,20
OG0007284,2,1,1,2,2,1,1,2,2,1,1,2,2,20
OG0007285,1,1,2,1,1,1,2,2,1,1,1,1,5,20
OG0007286,1,1,1,1,1,2,2,2,1,4,2,1,1,20
OG0007287,2,1,2,1,0,1,2,2,2,1,0,4,2,20
OG0007288,1,1,1,1,2,2,3,1,2,3,1,1,1,20
OG0007289,1,1,1,1,3,2,4,1,1,2,1,1,1,20
OG0007290,4,4,0,0,2,0,1,1,1,2,1,1,3,20
OG0007291,1,2,1,2,3,1,2,1,2,1,1,1,2,20
OG0007292,2,1,1,0,3,1,3,2,2,3,0,1,1,20
OG0007293,2,1,1,2,1,2,1,1,2,3,2,1,1,20
