Orthogroup,Leersia_perrieri,Oryza_barthii,Oryza_brachyantha,Oryza_glaberrima,Oryza_glumaepatula,Oryza_meridionalis,Oryza_nivara,Oryza_punctata,Oryza_rufipogon,Oryza_sativa_IR8,Oryza_sativa_N22,Oryza_sativa_vg_indica,Oryza_sativa_vg_japonica,Total
OG0003125,2,2,3,2,4,1,3,3,2,1,1,2,2,28
OG0003126,1,1,5,3,2,1,4,3,1,2,2,1,2,28
OG0003127,3,3,2,2,2,2,2,2,2,2,2,2,2,28
OG0003128,1,2,4,1,2,4,3,1,2,4,1,1,2,28
OG0003129,2,2,2,2,2,2,2,2,2,5,2,1,2,28
OG0003130,2,2,2,1,2,2,3,6,3,1,1,1,2,28
OG0003131,1,2,1,2,2,5,2,1,3,2,2,2,3,28
OG0003132,3,2,1,2,2,2,2,2,2,3,3,2,2,28
OG0003133,1,1,2,2,1,6,1,3,2,2,5,1,1,28
OG0003134,1,1,1,3,2,1,1,3,3,3,2,3,4,28
OG0003135,2,2,2,1,1,2,3,3,2,5,2,1,2,28
OG0003136,1,1,2,1,2,7,2,4,1,1,3,1,2,28
OG0003137,2,3,1,2,3,2,2,3,2,2,2,2,2,28
OG0003138,1,1,0,2,6,1,3,1,2,3,3,3,2,28
OG0003139,1,3,1,3,2,2,2,2,2,2,2,3,3,28
OG0003140,1,3,1,2,2,1,3,4,2,3,2,3,1,28
OG0003141,2,2,2,1,2,2,3,2,2,2,3,3,2,28
OG0003142,1,5,2,6,2,1,2,3,2,1,1,0,2,28
OG0003143,2,2,2,2,2,1,2,5,2,3,2,1,2,28
OG0003144,3,3,3,2,3,0,3,3,2,1,0,2,3,28
OG0003145,6,2,1,0,3,3,3,1,2,1,2,1,3,28
OG0003146,1,1,2,2,3,3,2,2,4,3,2,1,2,28
OG0003148,1,2,1,2,3,3,3,4,2,2,2,1,2,28
OG0003149,2,3,2,3,1,3,1,1,3,4,2,1,2,28
OG0003150,1,3,2,3,3,2,2,2,2,2,2,2,2,28
OG0003151,2,2,2,2,2,2,2,2,2,3,3,2,2,28
OG0003153,2,3,1,1,3,3,3,1,3,2,2,1,3,28
OG0003154,1,1,1,2,2,2,2,1,1,6,6,2,1,28
OG0003155,2,2,4,2,1,1,2,3,3,2,2,2,2,28
OG0003156,2,2,2,2,2,1,3,2,2,3,3,2,2,28
OG0003157,1,1,3,2,4,3,4,0,3,1,1,2,3,28
OG0003158,2,2,2,2,2,2,3,2,2,2,2,2,3,28
OG0003159,1,2,1,2,3,2,4,3,2,2,2,1,3,28
