λ_1,λ_2,λ_3,λ_4,λ_5,λ_6,λ_7,λ_8,λ_9,λ_10,λ_11,λ_12,λ_13,μ_1,μ_2,μ_3,μ_4,μ_5,μ_6,μ_7,μ_8,μ_9,μ_10,μ_11,μ_12,μ_13,q_1,q_2,q_3,q_4,q_5,η
-0.4759146933050821,0.08517301542353718,-1.2811442375390625,-0.6314738672097409,-0.28024183575846423,-0.5910073292397093,-0.628543675914796,-0.8569064326795328,-0.3852313545721615,-1.0775757516543099,-0.2682961377617549,-0.28784091892869734,-0.351575974837147,-0.28322582255699447,-1.687972312726772,-0.18448057902266535,-0.43970104920405295,-0.09220622243106212,-0.13846724059568868,-0.042139128719360354,-0.8573042140403602,0.47317477800589386,-0.7108364543832152,-0.6077132057655866,-0.04583393685343494,0.5652627119994376,0.013579654073681346,0.2539929650189674,0.001352002477522574,0.13346257561069708,0.002018626821677065,0.9296169420346748
-0.5156156039589307,0.011675767507049052,-0.9512005724154374,-0.5347299450546109,-0.1202391063165052,-0.1559919373881905,-0.19575515027510615,-1.4391685756585169,-0.19910677789640577,-1.841446206752399,-0.699732789012943,-1.524011169300493,-0.5111127627493592,-0.2716899035832311,-1.6185490032149372,-0.12820571625970595,-0.6708405874585386,0.030872804290759476,-0.3553055974334098,0.0037069548765864234,-0.3224640941586751,-0.012313591874673638,-0.06961214139506688,-1.0699872428361001,-0.4086732205776235,0.7987575051225281,0.0057548710411261285,0.25514095023527644,0.0022558375192238502,0.09534154101392434,0.000481446887301404,0.884552583782528
-0.30628773773985124,0.10927782751509989,-1.3960856043522352,-0.5500950485165766,-0.26532801716556675,-0.5551549336988891,-0.695903435943338,-1.004066298825794,0.1467751987071355,-0.5939889546226762,-0.1689645524079856,-0.22224116592045642,-0.6470362946399926,-0.04093889687228372,-1.3802707469803457,-0.27619594179486107,-0.5506444142875088,-0.21148253479876716,-0.16154373248995674,-0.13953879838818187,0.1187242197085801,0.687864378402299,-1.220634025782131,-0.7466530198466377,-0.8154735258629949,-0.8997917317050548,0.0010749654021894957,0.2381242699043956,0.00018309361290167375,0.04985082228868951,0.0071116000519870935,0.9099595450173147
-0.41458396744096937,-0.005184576192792986,-1.2594144610193556,-0.6585727250213667,-0.21904721044382508,-0.4144158602962965,-0.6631265399861541,-0.9117449249898557,0.1300768595046038,-1.0248585979591378,-0.3797957500137997,-1.189247646769985,-0.8959680040416581,0.047629688320201445,-1.3486648780503756,-0.29049781246475304,-0.6508631136392683,-0.26600019670556835,-0.17793743066993578,0.08213463864697931,-0.395941586210466,0.610047691285869,-0.44822709297705704,-0.53960234475213,-1.0188243019694907,0.5891130846433946,0.003953847969519102,0.2592785334956282,0.000250846648677974,0.06394614223525463,0.0031972045589420805,0.8939324018908088
-0.41836806668891335,0.07769070599140158,-0.8042498257187847,-0.5073841942303504,-0.1973674955289256,-0.36119081419899046,-0.2542781408848576,-1.119521361428402,-0.30313977590928065,-1.4086503082146464,-0.42806678342525817,-0.4936788833648761,0.2758350520776691,-0.24011197376147508,-2.11952980586825,-0.10590336949960116,-0.6069435957788203,0.16028407803037564,-0.24326776754630605,-0.1850685064572465,-0.25917377553557247,0.6023872287034726,-0.43450651830892917,-1.1970611985675594,0.44299958845488235,-0.853180659354033,0.0030495313634681244,0.26092766657318417,0.0011222434858130209,0.09115807665872647,0.0006555105824506967,0.9149352203860307
-0.5534889883201356,0.1239759515846737,-1.2232881206844948,-0.5595590790534792,-0.20715805724022907,-0.5497432277564354,-0.5066866433972933,-0.5180138646164432,-0.18790665630039846,-0.94559982877869,-0.3164990093096282,-1.3322120541010618,-0.1086823444042842,-0.39874854333513643,-1.2534511938061905,-0.13347544522127844,-0.7012468053442245,0.18362282660317064,-0.04338269688115774,-0.05509830255392299,0.07018556984444208,0.4794250619596515,-1.016449490678754,-0.43951596496307455,1.0116664199244378,-1.1284557108057394,0.029227073631448938,0.2866945758941366,0.001402638940656724,0.10250525059923998,0.000795003514853876,0.9118637757198129
-0.41411253351618377,-0.008400260929660116,-1.3186098166225941,-0.7058786559738335,-0.24085680226557338,-0.2182527667719365,-0.47598844935867635,-1.652945986058037,-0.43331872897975987,-0.9235515895034985,-0.5420711874677162,-0.9878289200976574,-1.3860534558137312,-0.19806014353454965,-1.5032932798308467,-0.2540146983099862,-0.5157205031061047,-0.2037451403399198,-0.24817629835500105,-0.038927342579829854,-0.6287893014731285,0.35531962516947835,-0.19925700191438406,-0.7006675123622524,-0.7033577692581089,0.3684262757402069,0.020495923518194598,0.2267049987242435,0.0059519141449354915,0.08184297677020995,0.003117398048449658,0.9109302294617275
-0.5746743391085699,0.09180797717261424,-1.0254571753945727,-0.6561359598933543,-0.39068325366332773,-0.529483289074821,-0.43494209051712945,-1.2240778724754469,-0.20441283450969192,-1.635097999412903,-0.5265563811403766,-1.0448276734561284,0.3102632837863397,-0.3342135780947778,-1.6640345072635427,-0.09067550292024643,-0.7991394418030435,0.03809693899632578,-0.18700451881843663,-0.017943843742698688,0.376409842513726,0.469978517764863,-0.5009548774118078,-0.7011837811061601,0.25471645491435757,-0.44947771005334686,0.01979590283974079,0.285601571808915,0.0021860282323357258,0.10087061137537467,0.001998007100455342,0.9072868481036332
-0.44421968111942767,0.012888738159446456,-1.3324247327803556,-0.48756496619721806,-0.39653211801224214,-0.3382542168381814,-0.5548111543902858,-1.1507702660267278,-0.47276141463917837,-1.523672660861718,0.0711037433847813,-0.8405752371916033,-0.5491187075088914,-0.2096090798677885,-1.725893026164908,-0.0482221913462422,-0.6191350208480626,0.18368698576664294,-0.04306436952745866,0.0006684732939036351,-0.7187384324879149,0.27094162044358877,-0.03234094590106195,-0.6505799966171378,-0.5418302761980934,-0.6027478409728353,0.016618671623846094,0.24289498486904298,0.005939493246314045,0.10330333364908079,0.0032058316194843975,0.9160094060888914
-0.48483803330949765,0.014042439052021499,-1.0824185960603332,-0.5681582096321323,-0.20839526950543222,-0.3442477056574603,-0.733231118608531,-0.9874222280575689,-0.1942969578815333,-2.0941094951737558,-0.0874492515761176,-0.9876689331116294,0.11476535913751534,-0.010949094190042606,-1.7467621151096677,0.0501443853588517,-0.642675240944965,0.0779121698990888,-0.08067715931558772,0.031036653844151094,0.14282837959480166,0.3619778993283592,-0.21867573039552632,-0.8547080469873352,0.9970321750391796,0.013764550353476235,0.019472747107853655,0.2338144863079608,0.004345344656351161,0.09958156740399016,0.0018339466212821,0.9095336576885631
