λ,μ
1.2585032871962198,2.297572800719708
0.9931942983423856,1.89158845349744
1.0706713371877221,1.3809316822246247
1.012020922936653,1.419619088994488
0.8519488432881498,1.4962447845670785
1.084371134489702,2.4360792936035565
1.1549357296141998,1.4538282540046352
1.1692302213113557,1.8540450002036089
1.1080883275886928,0.8911689541503529
1.1796407170778938,1.1285923620821363
1.1340061616007384,1.6567822305720112
0.7224234877944944,1.7539095302625374
1.039358459118315,1.996186487541523
1.4742560654465287,2.1270084243907106
1.2531747576868257,2.2546725665763656
1.2054599580551202,1.132069912535221
1.0084677577541188,2.1936893176217835
