λ,μ
4.691401545166924,2.51417402046403
1.5197229137150878,2.33414811608467
4.665876598545566,2.2010109182011384
3.931922296593234,2.112434003799985
4.07147971630438,1.6841248344419073
2.955409367776566,1.5297855706924868
3.051916958893835,2.1352825599986787
3.8252619229182203,1.267373699264219
4.352143705992198,2.0600152039530366
2.704124996788068,1.5131233491129201
3.696223497638887,1.2592754993680506
2.5472589869069995,2.0037232457811767
3.534582825227294,1.3949036009917817
3.9099856883828044,1.9579976216266366
1.2303344703213268,2.2208619633198983
3.124992643833702,1.696774253624812
3.7668195412751113,1.9806592237284146
