ath,bvu,cpa,cqu,mtr,ptr,sly,ugi,vvi
36,18,2,0,2,1,1,1,5
18,79,1,1,0,1,1,1,0
0,146,0,1,0,1,1,1,15
193,60,4,3,1,1,2,2,10
0,91,0,2,0,0,2,1,1
0,209,1,1,4,1,2,2,20
187,187,5,5,5,6,3,4,70
167,12,2,1,0,0,0,1,21
132,10,1,3,0,1,0,1,19
57,0,2,1,1,2,1,1,22
400,83,2,1,1,1,1,1,6
35,25,1,2,1,1,1,1,0
156,7,3,1,3,1,1,1,12
324,0,5,0,1,1,4,1,23
137,37,1,2,3,0,1,1,0
32,0,3,0,0,0,1,1,32
0,23,0,1,2,1,1,1,17
0,76,0,1,3,2,1,1,36
141,78,3,5,1,3,2,2,9
129,83,3,0,3,1,0,1,2
360,18,5,3,4,2,2,2,17
52,0,3,1,0,3,1,1,2
27,202,2,0,0,1,1,1,0
24,0,1,1,1,1,1,1,0
0,0,0,0,1,1,1,1,0
97,8,4,0,2,1,1,1,26
0,21,1,2,4,2,2,2,17
167,60,4,1,1,1,1,1,10
0,87,1,5,2,2,3,1,0
0,0,0,0,1,1,1,1,4
89,33,3,1,4,1,1,1,7
0,0,2,1,3,1,0,0,0
68,100,4,5,2,2,4,5,50
52,7,2,2,1,1,1,1,14
0,13,2,3,5,2,1,0,12
12,0,3,0,0,3,1,1,23
54,26,2,2,2,1,1,1,32
160,75,3,2,1,2,2,1,26
0,4,0,0,1,1,0,1,2
0,296,0,1,0,1,1,2,32
0,0,0,1,0,0,1,1,20
0,14,0,1,0,1,2,1,0
26,76,3,5,1,1,1,1,0
248,20,6,6,3,2,1,1,5
502,0,6,3,1,1,1,1,9
0,23,0,4,1,1,2,1,0
136,68,2,3,0,1,1,1,0
0,87,2,3,5,2,2,1,6
0,13,1,2,0,2,1,1,0
70,200,2,2,5,2,1,1,1
415,101,8,2,2,2,1,2,23
15,0,2,1,1,2,1,1,4
6,0,1,2,0,1,1,1,0
0,28,0,4,2,1,3,2,17
26,246,3,0,2,2,1,1,32
37,0,1,0,1,1,2,1,0
0,0,0,2,0,1,1,1,0
32,96,2,0,0,1,1,1,0
170,0,4,1,1,1,2,1,0
409,0,8,0,1,1,1,1,3
0,89,0,2,1,1,1,1,0
0,0,0,2,1,0,0,0,25
0,173,0,2,1,1,2,1,0
0,359,0,6,3,3,1,2,29
0,34,0,2,3,1,1,1,8
0,4,0,1,3,2,1,1,37
592,199,19,3,9,6,5,5,30
0,5,0,3,2,0,1,1,0
188,0,1,0,0,0,1,1,0
0,64,0,6,0,1,0,1,0
241,120,2,1,0,0,2,1,0
99,0,4,5,1,1,1,1,0
101,161,2,2,0,1,1,2,39
316,0,3,0,1,1,1,1,0
93,15,1,4,3,1,1,1,0
0,38,2,1,2,1,1,1,18
172,14,2,1,0,1,1,2,23
0,67,0,2,0,1,1,1,0
97,0,2,0,0,1,0,1,14
0,113,0,1,1,1,2,1,30
0,65,2,0,1,1,2,1,9
0,0,1,2,1,1,0,1,0
0,65,0,1,7,3,3,2,17
71,31,1,6,0,1,0,1,19
754,96,14,1,0,1,1,1,3
136,90,4,3,6,4,3,3,9
0,38,0,1,0,1,1,1,53
0,81,0,1,1,1,1,1,28
184,0,2,0,0,0,1,1,39
0,48,0,3,1,0,1,1,0
207,74,2,1,1,2,2,2,5
0,230,0,2,0,1,2,1,0
324,126,5,2,4,4,3,3,2
91,15,3,3,0,1,1,1,9
0,0,0,1,1,2,1,1,18
216,21,4,0,10,1,1,1,0
0,0,0,2,0,0,1,1,22
0,111,0,3,1,2,4,4,55
74,0,1,1,2,1,1,1,0
219,2,3,1,1,1,1,1,0
0,0,0,0,1,0,1,2,1
67,0,1,0,0,1,1,1,0
76,195,1,3,0,0,1,1,0
197,0,3,3,0,0,1,2,0
242,21,5,0,1,1,1,1,1
3,34,1,1,0,1,1,1,8
0,253,0,0,2,1,1,1,30
189,55,4,3,0,2,1,1,42
269,193,4,6,4,1,1,3,3
669,60,4,0,0,2,2,2,32
0,93,0,0,2,1,1,1,9
8,34,1,2,4,4,2,2,12
0,11,0,2,0,1,0,1,0
92,135,2,2,3,2,1,1,0
0,0,1,0,1,0,1,1,0
93,11,2,1,0,0,1,1,0
116,0,1,0,4,2,1,1,0
0,42,0,2,0,1,2,2,0
8,71,1,1,1,2,1,0,41
8,7,1,0,1,1,1,1,0
227,60,4,2,0,1,1,1,21
39,24,4,0,0,1,0,0,0
0,35,0,2,0,1,1,1,70
14,0,2,1,1,1,1,1,0
72,35,3,4,0,1,1,1,3
0,0,1,1,1,1,2,1,3
0,20,0,1,2,3,1,1,7
41,27,1,2,0,0,3,1,9
0,162,1,2,1,1,1,1,0
212,220,3,0,1,1,2,2,0
269,0,3,3,4,0,2,1,5
0,0,1,1,0,0,0,0,8
0,9,0,1,0,2,1,1,9
96,55,2,2,2,1,1,1,12
41,34,4,6,3,2,2,2,31
0,148,1,1,1,1,1,1,0
52,204,1,1,3,1,1,1,11
83,105,5,1,0,2,2,2,18
0,0,2,2,1,1,1,1,16
0,199,0,1,2,1,1,1,7
34,56,2,2,2,0,1,2,10
8,115,1,6,0,0,1,2,30
50,5,3,4,1,0,1,1,3
80,2,1,5,1,1,2,2,10
0,78,0,0,1,1,1,1,18
0,0,0,1,0,1,1,1,9
94,0,1,1,0,1,1,1,0
156,270,2,2,2,1,3,2,7
253,115,4,2,6,2,2,2,12
111,0,3,2,1,1,1,1,28
27,251,1,4,1,2,2,2,17
0,21,2,1,1,2,1,1,9
51,92,3,1,0,1,1,1,2
0,115,0,1,0,1,1,1,9
0,113,1,2,0,0,1,1,0
209,32,1,0,1,1,1,1,18
114,0,1,0,0,1,1,1,0
0,37,0,3,1,1,1,1,48
263,98,6,1,0,1,1,1,0
50,38,4,0,2,1,3,1,12
0,0,0,1,2,1,1,1,3
214,74,7,9,1,3,3,3,14
0,111,0,1,1,0,1,1,18
12,0,1,1,0,1,1,1,4
181,41,4,6,0,1,1,1,3
4,19,2,3,6,1,1,1,20
37,9,1,3,0,1,1,1,11
90,0,1,0,0,1,1,0,8
0,52,1,1,0,1,0,1,0
35,35,1,1,1,1,1,1,23
103,0,3,1,1,1,2,1,14
250,10,5,1,1,1,1,1,4
1,191,1,2,1,1,0,1,23
8,26,1,1,1,1,0,1,26
21,23,3,0,1,1,2,2,23
39,69,1,1,7,0,1,1,0
0,0,0,2,0,1,2,1,8
0,67,0,1,0,2,1,1,7
29,146,2,4,2,2,1,2,31
0,148,0,0,0,1,1,1,8
3,8,2,1,1,1,2,1,0
101,0,2,0,0,1,3,1,0
0,97,0,0,3,1,1,1,3
0,205,0,2,1,1,0,1,0
0,0,0,2,1,0,1,1,25
0,110,0,1,1,0,0,0,0
0,43,0,2,1,1,1,1,20
11,261,1,2,1,2,1,1,0
70,29,5,0,0,2,1,2,4
0,16,0,0,1,1,1,1,0
109,90,1,0,1,0,1,1,0
11,29,3,0,2,1,1,1,17
136,84,1,1,0,0,0,1,1
0,24,0,1,0,1,1,1,0
5,0,1,6,1,2,1,1,4
0,94,0,0,1,0,1,0,0
0,71,0,0,1,1,1,1,10
0,2,0,1,0,1,1,1,54
0,0,0,3,1,1,1,1,0
0,0,1,0,0,1,1,1,0
138,77,3,1,1,1,1,1,0
378,8,3,0,0,0,0,0,0
0,5,0,1,2,5,2,2,0
15,42,1,0,2,1,1,1,0
221,124,6,2,1,1,1,1,2
13,0,3,1,0,0,1,1,0
0,103,0,4,0,1,2,2,12
0,10,0,1,1,1,1,1,16
66,40,1,2,0,1,1,1,0
0,112,1,1,0,0,1,1,0
19,157,1,1,2,1,1,1,18
0,27,0,1,1,0,0,1,5
0,78,0,4,0,2,2,2,13
98,0,1,2,1,1,0,1,0
0,11,1,1,0,3,1,1,1
0,64,0,1,1,0,1,1,0
201,18,3,1,0,1,0,1,0
55,0,1,1,1,1,1,1,28
0,15,0,0,3,1,1,1,29
497,0,11,2,0,1,1,1,30
0,119,0,2,0,1,3,0,4
24,4,2,3,2,2,1,1,0
0,25,1,1,0,1,1,1,0
31,3,3,1,0,1,0,1,14
163,0,2,3,1,1,1,1,37
69,36,1,3,2,1,1,0,48
39,388,3,4,2,7,4,4,0
0,8,0,1,1,2,1,1,0
0,0,0,0,1,1,2,1,0
0,82,0,3,0,0,1,1,18
162,4,1,1,0,1,0,1,28
7,0,1,0,1,1,1,1,14
0,46,0,1,5,2,1,1,0
334,313,7,7,2,3,3,2,6
0,168,2,1,2,1,1,1,14
2,70,2,1,0,1,1,1,62
167,18,4,0,0,1,2,1,3
76,0,5,0,0,1,1,1,0
258,38,9,1,0,1,1,2,0
0,35,0,0,0,1,1,1,14
0,91,0,1,0,1,1,1,0
0,198,0,1,0,1,0,1,0
68,60,1,3,1,1,0,1,0
153,10,2,0,2,1,0,1,13
48,9,3,1,3,1,0,1,11
27,78,2,0,0,0,1,1,0
41,39,1,3,1,2,2,2,0
263,0,6,1,0,0,1,0,7
49,29,3,2,1,1,1,1,0
29,15,2,1,3,1,1,1,0
75,50,3,2,3,2,0,2,3
381,325,3,5,3,3,1,2,49
142,56,3,2,2,2,1,1,6
842,19,13,2,2,1,1,1,9
0,52,0,5,1,1,1,1,0
208,76,3,1,2,2,1,1,70
62,21,1,1,1,1,0,1,0
0,30,1,4,2,0,1,1,6
0,51,0,2,1,1,3,2,0
14,0,2,0,3,1,2,2,23
120,19,2,2,1,1,1,1,38
0,0,0,1,1,1,2,2,0
19,0,1,1,1,1,1,1,12
231,113,4,2,0,2,3,1,5
0,0,0,1,1,2,0,1,3
0,25,0,0,1,1,1,1,11
0,10,1,3,0,0,1,1,63
346,53,8,2,2,2,1,0,43
0,9,0,1,0,1,1,1,0
0,23,0,1,0,1,1,1,35
0,84,0,0,1,0,1,1,0
0,151,1,2,1,2,1,1,0
0,0,0,0,1,1,1,1,0
172,0,2,0,0,2,1,1,7
127,31,5,4,3,1,1,0,2
31,0,1,0,2,1,1,1,10
0,49,0,2,2,1,2,2,10
50,4,1,3,0,2,1,1,0
77,65,2,1,0,0,1,1,8
