λ,μ
8.107511678984478,8.986463364667085
5.467327370419792,7.645583921445552
5.380338891535207,4.519907254689533
6.629007506150155,10.240588428800642
7.865583052067563,10.176197559095433
5.856731349741544,8.270590648136299
2.4567597340559826,1.9349564492735858
3.4284921205240444,1.820079017266743
15.683973172670227,19.254258208999225
9.41743123018463,9.152026815574082
8.452066890016855,12.170822999762233
9.854366119914353,15.159170970122524
3.846781457850022,2.926774603190447
6.466608536596571,7.732633846699456
9.92674072705602,9.869860539960111
7.487328709969785,7.000608487923038
4.7400122777627836,3.068762978946575
