λ,μ
1.2676964783401963,0.824905354778773
1.0128571962091746,0.5529609003786835
1.2644042503639226,1.1105702690681503
1.1633526125187452,0.7315328622267141
1.3183335361104258,0.8047864965457316
1.6394969442713743,0.8859799118472372
1.3399933122415018,1.0056563795121534
1.3794388829474853,1.0967357444411752
1.5493148169085302,1.2243786219608266
1.597488142227935,1.4003279463029457
1.369331663757105,0.9771303281568229
1.2527607301488468,0.8056299670716119
1.3939357437050859,0.8533949324897814
1.8729408061836155,1.1795268557047898
1.4209096935146737,0.7895309047676653
1.3022718907898172,1.4302413595087078
1.6172041940044075,0.8521980552944466
