λ,μ
6.7991533514607685,4.567644955673753
5.319526899917335,5.4043224581483615
6.248377042382699,5.286633171579852
37.66374468653513,10.810847546248329
2.6396926577113393,3.2625546021810985
12.456226149824527,6.742559357994779
22.28032400381108,9.765281227568618
10.528971135658239,6.036092598081627
4.056522325598838,3.2568841974585183
7.08561948017452,6.510851137737826
18.228418668730264,7.668865762345643
3.0364870721768877,3.387982034493895
8.070065545140867,4.703019773228941
9.721693141446352,5.457108854027982
9.896587155794181,5.616490711858043
4.606350129811111,4.344985084228424
33.98190965040779,9.974978416414578
