λ,μ
4.050736572537778,6.840037214156399
2.958530050948707,6.933113101978222
2.693169409718252,3.5855131037753507
3.854985393928006,3.787620400820254
4.149876004439591,4.216237108998045
2.9953211022807813,5.521317103092485
4.975373545475373,5.557863766385353
3.8040949290715855,5.597109291834531
3.458101001909425,5.085804932315058
4.383821899725093,5.960575021163576
4.2840960406665936,4.0420020455915475
5.527946569939864,4.203300911361342
3.889317453958797,2.896309727076361
5.305813150405603,2.712802768493109
3.3138734266461767,6.03037337172356
3.5787053356931793,9.271027045762603
4.132214785695025,7.751810721606781
